country_name,country_iso2,country_iso3,lat,long,population,date,cases,deaths,tests,tests_units
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-03-27,83,0,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-03-28,104,0,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-03-29,133,1,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-03-30,145,1,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-03-31,149,2,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-01,173,2,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-02,187,2,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-03,190,2,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-04,227,2,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-05,266,2,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-06,342,2,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-07,397,2,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-08,504,2,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-09,555,3,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-10,582,3,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-11,624,3,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-12,796,4,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-13,865,4,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-14,998,4,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-15,1165,4,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-16,1302,4,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-17,1380,4,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-18,1450,4,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-19,1495,5,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-20,1565,5,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-21,1657,5,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-22,1692,6,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-23,1716,7,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-24,1778,7,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-25,1836,8,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-26,1865,8,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-27,1887,8,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-28,1904,8,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-29,1939,8,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-04-30,2002,9,0,
